product_url,product_name,price,image,product_description,unique_id,ingredients,details,currency,product_id
https://www.cleverleben.at/produkt/kaeseaufschnitt-3-sorten-250g-2714476,"Käseaufschnitt 3 Sorten, 250g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-14476-0790279711--kGGf9g2.png'],"Käseaufschnitt 3 Sorten, 250g",2714476,,Zum Inhalt,€,2714476
https://www.cleverleben.at/produkt/klarspueler-fuer-den-geschirrspueler-1l-27374,"Klarspüler für den Geschirrspüler, 1l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-374-259405987-LToe-YQW.png'],"Klarspüler für den Geschirrspüler, 1l",27374,,Zum Inhalt,€,27374
https://www.cleverleben.at/produkt/haushaltshandschuhe-gr-m-1-paar-275554,"Haushalts-Handschuhe Gr. M, 1 Paar",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5554-316281338-L_bqtruK.png'],"Haushalts-Handschuhe Gr. M, 1 Paar",275554,,Zum Inhalt,€,275554
https://www.cleverleben.at/produkt/haushaltshandschuhe-gr-l-1-paar-276165,"Haushalts-Handschuhe Gr. L, 1 Paar",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-6165-0583088195-CZq4CHjo.png'],"Haushalts-Handschuhe Gr. L, 1 Paar",276165,,Zum Inhalt,€,276165
https://www.cleverleben.at/produkt/haushaltstuecher-6-stueck-27611,"Haushaltstücher, 6 Stück",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-611-0283719778-PjTQFofg.png'],"Haushaltstücher, 6 Stück",27611,,Zum Inhalt,€,27611
https://www.cleverleben.at/produkt/schwammtuecher-5-stueck-27609,"Schwammtücher, 5 Stück",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-609-0831804146-vUgYX5FF.png'],"Schwammtücher, 5 Stück",27609,,Zum Inhalt,€,27609
https://www.cleverleben.at/produkt/topfreiniger-mit-griffleiste-6-stueck-27495,"Topfreiniger mit Griffleiste, 6 Stück",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-495-782895239-oGv2VDH_.png'],"Topfreiniger mit Griffleiste, 6 Stück",27495,,Zum Inhalt,€,27495
https://www.cleverleben.at/produkt/geschirrspuelmittel-konzentrat-balsam-500ml-27369,"Geschirrspülmittel Konzentrat Balsam, 500ml",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-369-0282801683--kyu3kqV.png'],"Geschirrspülmittel Konzentrat Balsam, 500ml",27369,,Zum Inhalt,€,27369
https://www.cleverleben.at/produkt/allzweckreiniger-1-l-27361,"Allzweckreiniger, 1 L",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-361-01666700246-mjS638yn.png'],"Allzweckreiniger, 1 L",27361,,Zum Inhalt,€,27361
https://www.cleverleben.at/produkt/pfeffer-bunt-ganz-70g-2714355,"Pfeffer bunt, ganz, 70g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-14355-2099397509-l_qGe_me.png'],"Pfeffer bunt, ganz, 70g",2714355,,Zum Inhalt,€,2714355
https://www.cleverleben.at/produkt/badreiniger-1l-27364,"Badreiniger, 1l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-364-01434902180-eBWbTWR5.png'],,27364,,Zum Inhalt,€,27364
